Wort,Rank,Sprachniveau_Est,Wortart,Erklärung,DWDS_Erklärung,Synonyme,Beispielsatz
stumpf,4234,B2,Adjektiv,"nicht scharf , sodass es nicht mehr möglich ist zu schneiden","durch Gebrauch abgenutzt oder schlecht geschliffen | schlecht schneidend | nicht leicht in etw. eindringen, weil nicht spitz","rau, uneben",Das Messer war wirklich sehr stumpf.
masturbieren,4235,B2,Verb,sich selbst sexuell befriedigen,"sich sexuell selbst stimulieren, befriedigen | (ohne körpereigene Penetration) sexuell stimulieren, befriedigen","onanieren, befriedigen, sich einen runterholen, wichsen, Finger versenken","Während er masturbierte, ging ihm der Satz „Und sind die Mädchen noch so lieb, Handbetrieb bleibt Handbetrieb“ nicht aus dem Sinn."
bolzen,4236,B2,Verb,"etwas ziellos in die Gegend treten, schießen","planlos, ohne System Fußball spielen | mit dem Fuß irgendwohin treten, schießen | sehr intensiv, in übertriebener Weise lernen, trainieren, betreiben","schutten, tschuten, tschutten, pöhlen, bäbbeln",Nach der Schule bolzt er sein zerknülltes Zeugnis auf die Straße.
unordentlich,4237,B2,Adjektiv,nicht ordentlich; ohne Ordnung,"nicht in Ordnung gehalten, ungeordnet | nicht sorgfältig (ausgeführt) | ohne Sinn für Ordnung, nicht auf Ordnung haltend","durcheinander, verwüstet",Dein Zimmer ist sehr unordentlich. Bitte räum es auf.
aufzeichnen,4238,B2,Verb,etwas auf etwas zeichnen,"zeichnend, skizzierend festhalten, darstellen, anfertigen | (sorgfältig) niederschreiben | ;","skizzieren, mitschneiden, aufnehmen",Einen Grundriss / einen Weg auf Papier aufzeichnen
durchkämmen,4239,B2,Verb,das Haar mit einem Kamm kräftig durchgehen und dabei gründlich richten,"ein Gebiet mit einer Kette von Menschen systematisch, genau durchsuchen",,"„Extra für die Reise hatte sie ihre Haare lässig, ohne sie durchzukämmen, gefönt.“"
neutralisieren,4240,B2,Verb,unerwünschte elektrische Rückkoppelungen beseitigen,etw. für neutral erklären | ein Gebiet von Kampfhandlungen ausnehmen | einen Staat zu ständiger Neutralität verpflichten,"ausschließen, unwirksam, ausschalten, aufheben, ausbalancieren","Diese Grenzen werden durch negative Rückkoppelungen verursacht. Sie sind selbststabilisierend, wirken Veränderungen entgegen und neutralisieren sie dadurch."
färben,4241,B2,Verb,mit Farbstoff die Farbe ändern,einem Gegenstand mit Farbstoff eine bestimmte Farbe verleihen | eine (andere) Farbe annehmen | abfärben,,Seit Jahren färbt sie ihre Haare rot.
abtreiben,4242,B2,Verb,"etwas oder jemanden, welches oder welcher sich fliegend oder schwimmend bewegt, von einer Richtung ablenken","(etw., jmdn.) wegtreiben | etw., jmdn. aus seinem Kurs bringen, vertreiben | vom Kurs abkommen",,"Hilfe, unser Floß treibt ab."
weiterleiten,4243,B2,Verb,"etwas  unverändert weitergeben, etwas übermitteln",,"übermitteln, weitergeben",Ich habe deine E-Mail an Egon weitergeleitet.
trotzen,4244,B2,Verb,"sich einer Sache widersetzen, etwas die Stirn bieten, entgegentreten","starrsinnig, eigensinnig sein, schmollen | jmdm., einer Sache Trotz, die Stirn bieten, entgegentreten, sich widersetzen",,Ich trotze dem Wetter.
geleckt,4245,B2,Adjektiv,in sauberer Manier zurechtgemacht,,"geschniegelt, aufgemotzt","„Es ist allerdings nicht abzuleugnen, daß verschiedene seiner Gemälde durch kalte, geleckte Färbung, durch die unnatürliche Verdunkelung des Himmels gegen die Erde und namentlich durch die bunte, schlechtgezeichnete und -componirte Staffage abstoßend wirken.“"
forschen,4246,B2,Verb,sich intensiv um wissenschaftliche Erkenntnis bemühen,"gründlich, systematisch nach (wissenschaftlicher) Erkenntnis suchen | nach etw., jmdm. suchen, nachforschen","beobachten, untersuchen","Zu den Hauptaufgaben der Wissenschaftler gehört es, zu forschen und zu lehren."
hach,4247,B2,Intj,Ausruf der freudigen Überraschung,,,"Hach, ist das schön!"
mitkriegen,4248,B2,Verb,für einen Weg oder Lebensabschnitt erhalten,etw. verstehen | bei etw. dabei sein,mitbekommen,„Nach ihrer Aussteuer frage ich: was kriegt sie mit?“
oha,4249,B2,Intj,"Ausruf des Erstaunens, der Bewunderung",,"oh, da schau her, schau einer an, brr",Oha! Das hätte ich jetzt nicht erwartet!
verkriechen,4250,B2,Verb,sich aus der Öffentlichkeit an einen schützenden Ort zurückziehen,"in seinen Bau, in ein Versteck kriechen | sich verstecken, besonders aus Angst, Scham | sich innerlich zurückziehen, sich absondern",,Die Eidechse sucht Schutz und verkriecht sich unter einem Stein.
nice,4251,B2,Adjektiv,von guter Qualität,"sehr gut, großartig, schön","cool, gut, toll, stabil","„John sagt, daß es nice war gestern abend.”"
schlussendlich,4252,B2,Adjektiv,dem zuletzt vorliegenden Sachverhalt entsprechend,"schließlich, endlich, am Ende, zum Schluss | ; | etw. abschließend, beendend",,„Und der schlussendliche Favorit natürlich auch.“
ablösen,4253,B2,Verb,"eine Aufgabe für jemanden übernehmen, jemanden ersetzen","etw., sich loslösen, (behutsam) abtrennen | eine Arbeit, Pflicht (von jmdm.) im Wechsel übernehmen, sich (mit jmdm.) abwechseln | unmittelbar aufeinanderfolgen, sich anschließen","abfallen, lösen, abgehen, abreißen, abmachen",Ich löste meinen Bruder mit der Wache ab.
auswärts,4254,B2,Adverb,"nach außen, nach draußen",außerhalb | des Hauses | des Wohnortes,"außen, außer Haus, außerhalb","„Der Minister aber war der Minister des Inneren und des Äußeren. Wenn er der Minister des Inneren war, dann stellte er seine Füße einwärts, und wenn er der Minister des Äußeren war, dann stellte er sie auswärts.“"
haargenau,4255,B2,Adjektiv,"ganz genau, in allen Details",sehr genau,,Er sieht haargenau so aus wie sein Vater in diesem Alter.
schmollen,4256,B2,Verb,"beleidigt schweigen, um seinen Unmut zu zeigen und dabei meist den Mund verziehen","seinen Unmut zeigen, besonders durch Verziehen des Gesichts, trotzen",,"Die Kinder schmollen nun, weil sie heute zeitig ins Bett gehen müssen."
zunehmend,4257,B2,Adverb,"mehr in Zahl, Menge oder Häufigkeit werdend, sich vergrößernd, ansteigend","immer deutlicher sichtbar, erkennbar | ; | in immer höherem Maße, Grade",,Kapitalanlagen in fossile Energie stellen […] ein zunehmendes Risiko für Investoren dar.
sponsoren,4258,B2,Verb,"mit Geld fördern, unterstützen",,,"„[Dr. John Pombe Magufuli] verweigerte die Abnahme einer neugebauten Straße, die von der japanischen Regierung gesponsort worden war, weil sie nicht den Qualitätsstandards entsprach.“"
verschmelzen,4259,B2,Verb,etwas mit etwas anderem zu etwas Neuem vereinen,"etw. Festes, besonders Metalle, durch Hitze, Wärme weich, flüssig machen | etw. miteinander verbinden, vereinigen | Metalle aufbereiten, einschmelzen",,Kupfer und Zinn hat man zu Bronze verschmolzen.
dasitzen,4260,B2,Verb,untätig irgendwo länger sitzen,(vor jmds. Augen) an einer Stelle sitzen,"dastehen, rumsitzen, herumsitzen","„Sie war eine schöne Blonde mit blauen Augen und der Gestalt einer antiken Statue; nachdenklich, in sich versunken saß sie da und schien von einem bitteren Kummer verzehrt.“"
heimbringen,4261,B2,Verb,jemanden nach Hause begleiten,"heimbegleiten | nach Hause schaffen, tragen, befördern","heimfahren, geleiten, mitgehen, heimbegleiten, mitkommen","«Ihr habt mich geholt, dann könnt ihr mich auch wieder heimbringen», ist die Antwort Tanners auf die Frage, warum er nicht gehe, die Tür sei offen."
konstant,4262,B2,Adjektiv,"einen Zustand, eine Eigenschaft über die Zeit beibehaltend","unveränderlich, gleichbleibend","unveränderlich, fest, stabil, gleichbleibend",Seit drei Wochen scheint konstant die Sonne.
wühlen,4263,B2,Verb,meist mit technischen Hilfsmitteln im Erdboden graben,"im Erdreich graben | etw. schmerzt bohrend in jmdm. | in einem Behälter, einer Menge umhersuchen","durchwühlen, rödeln, aufhetzen, buddeln, unterminieren","In der Nähe der Stadt Weißwasser pflügen in einem riesigen Krater Fördermaschinen Furchen in die Landschaft, Bagger und Bohrmaschinen wühlen sich durch den Sand, fräsen sich durchs Gestein, um Kohleflöze ans Tageslicht zu befördern."
konkret,4264,B2,Adjektiv,"sinnlich erfahrbar, anschaulich; wirklich; gegenständlich","gegenständlich, wirklich, anschaulich | bestimmt, genau, sachlich",,Kannst du das an einem konkreten Beispiel zeigen?
mühsam,4265,B2,Adjektiv,"mit viel Mühe verbunden, mit großer Anstrengung","Mühe bereitend, beschwerlich | gezwungen | mit Mühe, Anstrengung","beschwerlich, mühselig, aufreibend, schwer, mühevoll",Putzen ist eine mühsame Arbeit.
verführerisch,4266,B2,Adjektiv,"so geartet, dass zu unbeabsichtigten Reaktionen verleitet wird","geeignet, jmdn. zu etw. zu verführen | äußerst attraktiv, reizvoll",,Sehr verführerisch war auch das Angebot auf der Speisekarte.
linsen,4267,B2,Verb,möglichst unauffällig hinsehen,"blinzelnd, verstohlen nach etw. sehen",lugen,„Ich schlich zur Tür und linste durch das Schlüsselloch.“
experimentieren,4268,B2,Verb,Experimente durchführen; Versuche anstellen,Versuche anstellen,,Das Verfahren ist noch nicht ausgereift. Wir müssen noch etwas experimentieren.
ausschwärmen,4269,B2,Verb,sich im Schwarm von einer Stelle wegbewegen; von einer Stelle aus in großer Zahl in verschiedene Richtungen strömen,sich in Schwärmen nach allen Seiten ausbreiten | ausfliegen | aus der geschlossenen in die aufgelöste Ordnung übergehen,,"„Wenn die Borkenkäfer der Art Dendroctonus frontalis ausschwärmen, fangen Waldbesitzer in den USA und Mexiko an zu zittern: Der Kerf gilt als einer ihrer übelsten Feinde, […].“"
tischen,4270,B2,Verb,"den Tisch zum Essen vorbereiten, ihn decken",,,"„Was soll 'n das, hatte er gefragt, kauend, mit dem Steak beschäftigt, das sie ihm zum Frühstück getischt hatte.“"
drankriegen,4271,B2,Verb,"dafür sorgen, dass jemand sich etwas  nicht mehr länger entziehen kann","(durch besonderes Geschick) bewirken, dass sich jmd. einer Forderung oder Leistung nicht (länger) entziehen kann","Verantwortung, überlisten, hereinlegen, reinlegen",Letztendlich wurden die Täter gefasst und man kriegte sie für ihre diversen Straftaten doch noch dran.
winden,4272,B2,Verb,"etwas drehen, wickeln","etw. mit der Winde irgendwohin bewegen, befördern | mehrere geschmeidige Gebilde, meist Blumen, Zweige, durch Drehen zu etw. Festem, Einheitlichem zusammenfügen | etw. um etw. herumlegen, herumwickeln","wickeln, ranken",Wir winden das Seil um den Pfosten.
rege,4273,B2,Adjektiv,"in dauernder Bewegung, lebhaft","lebhaft, munter","aktiv, regsam, munter, lebhaft, rührig","Meine Oma ist schon fast 90 Jahre alt und an den Rollstuhl gefesselt, aber geistig ist sie noch sehr rege."
knusprig,4274,B2,Adjektiv,frisch gebacken mit berstender Kruste,"angenehm hart gebacken, gebraten | jung und reizend",,"„Für Fertiggerichte und die Gastronomie werden spezielle Paniermehle hergestellt, die z. B. dafür sorgen, dass eine ungebratene Panierung nicht aufweicht oder panierte Gerichte auch warmgehalten knusprig bleiben.“"
montags,4275,B2,Adverb,jeweils am Montag,an jedem wiederkehrenden Montag,,"Oh nein, montags muss ich immer mein Zimmer aufräumen!"
erregend,4276,B2,Adjektiv,ein Gefühl der Erregung verspürend,,,„Eigentlich ist es nur Männerschweiß.“ […] „Bei Frauen und Schwulen aber hat die testosteronhaltige Ausdünstung erregende Wirkung.“
brr,4277,B2,Intj,Befehl zum Anhalten,,"äh, stopp, halt, hu, brumm","„Brr, bleib' stehen“, rief der Kutscher."
erstaunen,4278,B2,Verb,ins Staunen kommen,in Staunen geraten | jmdn. in Staunen versetzen,"verwundern, verblüffen, verdutzen","Sie erstaunten über die Leuchtkraft, die die Farben nach so langer Zeit noch hatten."
oberhalb,4279,B2,Prep,mit Genitiv: weiter oben als das Vergleichsobjekt befindlich,"über etw. (gelegen, sich befindend, sich belaufend o. ä.) | über etw. (gelegen, sich befindend, sich belaufend o. ä.), darüber","ober, über, ob",Die Nase befindet sich oberhalb des Mundes.
funkeln,4280,B2,Verb,"kurz und schnell aufleuchten, blitzen","Lichtstrahlen von wechselnder Helligkeit aussenden | leuchten, blitzen",,Die Tautropfen funkeln auf dem Gras in der frühen Morgensonne wie tausend Diamanten.
entziffern,4281,B2,Verb,"es mit einem gewissen Aufwand schaffen, undeutlich Geschriebenes  zu lesen",einen unbekannten (verschlüsselten oder schwer lesbaren) Text lesen | etw. enträtseln | etw. dechiffrieren,"knacken, dechiffrieren, enträtseln, decodieren, entschlüsseln",Viele alte Menschen können das Kleingedruckte auf den Beipackzetteln der Medikamente nicht mehr entziffern.
fortführen,4282,B2,Verb,eine Sache weiterhin tun,"etw. weiterführen, fortsetzen | jmdn., etw. von einem Ort wegführen, fortschaffen","weiterführen, wegführen, fortschaffen, fortsetzen",Morgen werden wir die Verhandlungen fortführen.
quak,4283,B2,Intj,"Laut, in der Art, wie ihn Enten, Quaker und Frösche von sich geben",,,
unvollständig,4284,B2,Adjektiv,nicht alle zu seiner Bestimmung nötigen Teile habend,"nicht vollständig, nicht vollzählig",lückenhaft,Das Formular ist unvollständig ausgefüllt.
andauern,4285,B2,Verb,sich weiter fortführen; zeitlich weitergehen,"fortdauern, noch nicht zu Ende sein","anhalten, weitergehen, fortwähren, fortdauern","Er fragte sich, wie lange der Krieg noch andauern würde."
vergleichbar,4286,B2,Adjektiv,"so, dass man es  vergleichen kann, weil es in einer Eigenschaft ähnlich ist","auf Grund eines oder mehrerer Merkmale (miteinander) zu vergleichen | mit ähnlichem oder ¹gleichem Wert, auf gleichem Niveau o. Ä.",,Einen vergleichbaren Fall hat der Richter noch nie erlebt.
ersuchen,4287,B2,Verb,höflich um etwas bitten,jmdn. in höflicher Weise um etw. bitten | jmdn. (amtlich) zu etw. auffordern,,"Ich ersuche Sie dringlichst, mir die geforderten Unterlagen zuzusenden."
einerseits,4288,B2,Adverb,"Adverb, das ein Thema in eine Zweigeteiltheit kategorisiert, von der die erste Seite folgt",auf der einen Seite,,"Einerseits habe ich starke Gefühle ihr gegenüber, andererseits ist es ein zu hohes Risiko eine Liebesgeschichte innerhalb der Firma anzufangen."
seriös,4289,B2,Adjektiv,ordentlich,"elegant, würdig und integer wirkend | anständig und gediegen | feierlich und gediegen","solide, ordentlich, zuverlässig, würdig, ernst",Ein seriöser Ober bediente uns.
stilvoll,4290,B2,Adjektiv,einem bestimmten Stil entsprechend,einheitlich im Stil | geschmackvoll,,Vielleicht sollten Sie sich stilvoller kleiden.
äußerlich,4291,B2,Adjektiv,"außen liegend, sich außen befindend, nach außen, von außen","nach außen hin, von außen gesehen | oberflächlich",,Die Salbe ist zur äußerlichen Anwendung.
vorhergesagt,4292,B2,Adjektiv,"eine künftige Entwicklung ankündigend, eine Aussage über die Zukunft machend, etwas vorwegnehmend","über Künftiges etw. aufgrund der Kenntnis von Zusammenhängen oder aufgrund einer Vermutung, Ahnung aussagen, etw. im Voraus ankündigen",prognostiziert,Überraschung in Israel: der vorhergesagte Wechsel [bei der Parlamentswahl] ist ausgeblieben.
bürgen,4293,B2,Verb,für die Glaubwürdigkeit einer Person oder Sache einstehen,"für jmdn., etw. haften | für jmdn., etw. mit dem Vermögen eintreten | für etw., jmdn. gutsagen, sich für etw., jmdn. verbürgen","garantieren, einstehen, gewährleisten, haften",Sein Onkel bürgt für ihn.
schminken,4294,B2,Verb,"Haut, Gesicht oder Augen mit Hilfe von Schminke farblich gestalten","Schminke auftragen, verwenden","auftragen, Make-up, Schminke","Für die Feier schminkte sich Julia, um besonders hübsch auszusehen."
heldenhaft,4295,B2,Adjektiv,wie ein Held; wie von einem Helden; besonders tapfer,"sehr tapfer, heroisch","heldisch, heroisch",Seine heldenhaften Taten waren eine bloße Erfindung.
imitieren,4296,B2,Verb,"etwas nach dem Muster, Vorbild von etwas Anderem tun","etw., jmdn. nachahmen, nachbilden, nachmachen",,"Du musst nicht alles imitieren, was dir gefällt."
flink,4297,B2,Adjektiv,schnell und behände; flott,"schnell, gewandt","geschwind, flott, fix",Sie fiel schon immer als sehr flinke Person auf.
signieren,4298,B2,Verb,etwas unterzeichnen,"etw. mit einem Signum versehen | etw., besonders Bücher, mit einer Signatur versehen","unterschreiben, unterzeichnen",Der Künstler signierte sein Gemälde.
nachladen,4299,B2,Verb,"eine Schusswaffe mit Munition versehen, nachdem die bisherige Munition aufgebraucht wurde","etwas nicht oder nicht vollständig Geladenes erneut, noch einmal ¹laden | eine Waffe erneut ¹laden | eine elektronische Guthabenkarte mit neuem Guthaben laden, auffüllen",updaten,"„Gesucht werde noch nach einem Komplizen, der nach Zeugenaussagen die halbautomatische Pistole des Schützen nachgeladen hatte.“"
beeinträchtigen,4300,B2,Verb,durch ein Hindernis die Beweglichkeit oder auch Funktion stören,"auf jmdn., etw. hemmend einwirken | etw. verschlechtern, mindern","behindern, stören, vermindern, beschränken",Seine Verletzung beeinträchtigte ihn beim Gehen.
erniedrigen,4301,B2,Verb,"jemanden  abstufen, abwerten","jmdn., sich moralisch herabziehen, herabwürdigen | die Note mit einem B versehen und dadurch einen Halbton niedriger setzen","demütigen, verringern, herabwürdigen, vermindern, erniedern","Im Militärgefängnis werden angeblich Gefangene bewusst erniedrigt, um sie gefügig zu machen"
howdy,4302,B2,Phrase,"Grußformel aus den Südstaaten der USA, die unter anderem in der Western-, Country- und Trucker-Szene genutzt wird","(meist jüngerer) Mensch, der die geltenden Umgangsformen und Regeln sozialen Verhaltens missachtet, aggressiv und gewalttätig wird | Person, die sich im Straßenverkehr dreist und rücksichtslos verhält","hallo, hi","Howdy, Fremder! Was führt dich hier her?"
